# AGAGE data for HFC-227ea
# Created by lw13938 on 2024-05-29 14:28:33.876163
# Contact AGAGE data owners before use 
# This file contains data from the following sites/instruments: 
#===================================================
# MHD 
#   1. Medusa
#------------------
# THD 
#   1. Medusa
#   2. Archive
#  Instruments combined in above order of preference
#------------------
# RPB 
#   1. Medusa
#------------------
# SMO 
#   1. Medusa
#------------------
# CGO 
#   1. Medusa
#   2. Archive
#  Instruments combined in above order of preference
#------------------
# SCALE: SIO-14
# UNITS: ppt
var,mf,mf,mf,mf,mf_variability,mf_variability,mf_variability,mf_variability,sites,sites,sites,sites,instruments,instruments,instruments,instruments
box,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
2000-07-01,,,,,,,,,,,,,|,,,
2000-08-01,,,,0.09665,,,,0.006755249884349208,,,,CGO,|,,,Archive
2000-09-01,,,,0.1078,,,,0.01776555723865705,,,,CGO,|,,,Archive
2000-10-01,,,,,,,,,,,,,|,,,
2000-11-01,,,,,,,,,,,,,|,,,
2000-12-01,,,,,,,,,,,,,|,,,
2001-01-01,,,,0.1134,,,,0.013567402699116732,,,,CGO,|,,,Archive
2001-02-01,,,,,,,,,,,,,|,,,
2001-03-01,,,,,,,,,,,,,|,,,
2001-04-01,,,,0.11085,,,,0.0069599426003380226,,,,CGO,|,,,Archive
2001-05-01,,,,,,,,,,,,,|,,,
2001-06-01,,,,,,,,,,,,,|,,,
2001-07-01,,,,0.1292,,,,0.01502376464139398,,,,CGO,|,,,Archive
2001-08-01,,,,,,,,,,,,,|,,,
2001-09-01,,,,0.126,,,,0.010645825472925995,,,,CGO,|,,,Archive
2001-10-01,,,,,,,,,,,,,|,,,
2001-11-01,,,,,,,,,,,,,|,,,
2001-12-01,,,,,,,,,,,,,|,,,
2002-01-01,,,,,,,,,,,,,|,,,
2002-02-01,,,,,,,,,,,,,|,,,
2002-03-01,,,,,,,,,,,,,|,,,
2002-04-01,,,,,,,,,,,,,|,,,
2002-05-01,,,,,,,,,,,,,|,,,
2002-06-01,,,,0.1516,,,,0.013443854209266033,,,,CGO,|,,,Archive
2002-07-01,,,,,,,,,,,,,|,,,
2002-08-01,,,,,,,,,,,,,|,,,
2002-09-01,,,,,,,,,,,,,|,,,
2002-10-01,,,,,,,,,,,,,|,,,
2002-11-01,,,,,,,,,,,,,|,,,
2002-12-01,,,,,,,,,,,,,|,,,
2003-01-01,,,,,,,,,,,,,|,,,
2003-02-01,,,,0.1718,,,,0.013717684352688686,,,,CGO,|,,,Archive
2003-03-01,,,,,,,,,,,,,|,,,
2003-04-01,0.22866000000000006,,,,0.015655282564042083,,,,THD,,,,|Archive,,,
2003-05-01,,,,0.1853,,,,0.01900604966846083,,,,CGO,|,,,Archive
2003-06-01,0.219,,,,0.01727816991337785,,,,THD,,,,|Archive,,,
2003-07-01,,,,,,,,,,,,,|,,,
2003-08-01,,,,,,,,,,,,,|,,,
2003-09-01,,,,,,,,,,,,,|,,,
2003-10-01,,,,0.1831,,,,0.02117480096718739,,,,CGO,|,,,Archive
2003-11-01,,,,,,,,,,,,,|,,,
2003-12-01,,,,,,,,,,,,,|,,,
2004-01-01,,,,0.20665,,,,0.019837847690714838,,,,CGO,|,,,Archive
2004-02-01,,,,,,,,,,,,,|,,,
2004-03-01,,,,,,,,,,,,,|,,,
2004-04-01,,,,0.2145,,,,0.01986496664985874,,,,CGO,|,,,Archive
2004-05-01,,,,,,,,,,,,,|,,,
2004-06-01,,,,0.2246,,,,0.013478967913011737,,,,CGO,|,,,Archive
2004-07-01,,,,,,,,,,,,,|,,,
2004-08-01,,,,,,,,,,,,,|,,,
2004-09-01,,,,,,,,,,,,,|,,,
2004-10-01,,,,,,,,,,,,,|,,,
2004-11-01,,,,,,,,,,,,,|,,,
2004-12-01,,,,0.245,,,,0.020620166100203945,,,,CGO,|,,,Archive
2005-01-01,,,,,,,,,,,,,|,,,
2005-02-01,,,,,,,,,,,,,|,,,
2005-03-01,0.3170133333333333,,,0.2385,0.0203725804119164,,,0.018025013176139425,THD,,,CGO,|Archive,,,Archive
2005-04-01,,,,,,,,,,,,,|,,,
2005-05-01,,,,,,,,,,,,,|,,,
2005-06-01,,,,0.2763,,,,0.02283090195327377,,,,CGO,|,,,Archive
2005-07-01,,,,,,,,,,,,,|,,,
2005-08-01,,,,,,,,,,,,,|,,,
2005-09-01,,,,,,,,,,,,,|,,,
2005-10-01,,,,0.2909,,,,0.027144467502605386,,,,CGO,|,,,Archive
2005-11-01,,,,,,,,,,,,,|,,,
2005-12-01,,,,,,,,,,,,,|,,,
2006-01-01,,,,,,,,,,,,,|,,,
2006-02-01,0.36901818181818186,,,0.301,0.02397101929724225,,,0.024589501824965873,THD,,,CGO,|Archive,,,Archive
2006-03-01,,,,,,,,,,,,,|,,,
2006-04-01,,,,,,,,,,,,,|,,,
2006-05-01,,,,,,,,,,,,,|,,,
2006-06-01,,,,0.321,,,,0.021701327148356618,,,,CGO,|,,,Medusa
2006-07-01,,,,0.325,,,,0.02147673159491453,,,,CGO,|,,,Medusa
2006-08-01,,,,0.332,,,,0.021858783131729908,,,,CGO,|,,,Medusa
2006-09-01,,,,0.337,,,,0.022132519061326936,,,,CGO,|,,,Medusa
2006-10-01,0.42200000000000004,,,0.342,0.028019678799015527,,,0.022024313837211817,MHD,,,CGO,Medusa|,,,Medusa
2006-11-01,0.43200000000000005,,,0.348,0.02778212374891452,,,0.022022134319815596,MHD,,,CGO,Medusa|,,,Medusa
2006-12-01,0.442,,,0.35,0.029108596668338375,,,0.021840329667841555,MHD,,,CGO,Medusa|,,,Medusa
2007-01-01,0.442,,,0.35600000000000004,0.028710806327931646,,,0.022186698717925567,MHD,,,CGO,Medusa|,,,Medusa
2007-02-01,0.445,,,0.36,0.029696632805757624,,,0.023033888078220748,MHD,,,CGO,Medusa|,,,Medusa
2007-03-01,0.4542545454545454,,,0.369,0.030439916760612553,,,0.023541019519128733,THD|MHD,,,CGO,Medusa|Archive,,,Medusa
2007-04-01,0.46299999999999997,,,0.381,0.030671296027393425,,,0.023907730967199708,MHD,,,CGO,Medusa|,,,Medusa
2007-05-01,0.462,,,0.389,0.029468600238219667,,,0.024672973067711153,MHD,,,CGO,Medusa|,,,Medusa
2007-06-01,0.479,,,0.396,0.03289357992070793,,,0.0250706521654304,MHD,,,CGO,Medusa|,,,Medusa
2007-07-01,0.479,,,0.39299999999999996,0.031144623934155954,,,0.024597081127646015,MHD,,,CGO,Medusa|,,,Medusa
2007-08-01,0.47700000000000004,,,,0.030661121962511417,,,,MHD,,,,Medusa|,,,
2007-09-01,0.485,,,,0.031109644806715485,,,,MHD,,,,Medusa|,,,
2007-10-01,0.4905,,0.42100000000000004,,0.03124699825583251,,0.026496558267065557,,THD|MHD,,SMO,,Medusa|Medusa,,Medusa,
2007-11-01,0.495,0.47600000000000003,0.433,0.41700000000000004,0.03203263960400391,0.032736426194684115,0.02861748416615269,0.02598076981153561,THD|MHD,RPB,SMO,CGO,Medusa|Medusa,Medusa,Medusa,Medusa
2007-12-01,0.4965,0.48,0.436,0.41600000000000004,0.034805805550223945,0.032946016451158404,0.02921207969316803,0.02621071536604829,THD|MHD,RPB,SMO,CGO,Medusa|Medusa,Medusa,Medusa,Medusa
2008-01-01,0.509,0.491,0.449,0.42,0.03299911513965185,0.03352449253903778,0.030360559942135452,0.026439364591457182,THD|MHD,RPB,SMO,CGO,Medusa|Medusa,Medusa,Medusa,Medusa
2008-02-01,0.5125,0.488,0.44799999999999995,0.425,0.03378701673720247,0.03245486712343774,0.02985857330818068,0.026725456029785533,THD|MHD,RPB,SMO,CGO,Medusa|Medusa,Medusa,Medusa,Medusa
2008-03-01,0.517,0.49200000000000005,0.447,0.436,0.03424164715664245,0.034574996746203755,0.030254130296539675,0.02800617074860467,THD|MHD,RPB,SMO,CGO,Medusa|Medusa,Medusa,Medusa,Medusa
2008-04-01,0.5275000000000001,0.501,0.446,,0.035024598498769405,0.03453409329923112,0.02975058991011775,,THD|MHD,RPB,SMO,,Medusa|Medusa,Medusa,Medusa,
2008-05-01,0.538,0.507,0.455,,0.035594920986005855,0.033081360310603915,0.030680449801135577,,THD|MHD,RPB,SMO,,Medusa|Medusa,Medusa,Medusa,
2008-06-01,0.5395000000000001,0.516,0.46399999999999997,0.451,0.0367976480226658,0.03484998708751554,0.02993435484522758,0.028517426251329206,THD|MHD,RPB,SMO,CGO,Medusa|Medusa,Medusa,Medusa,Medusa
2008-07-01,0.5505,0.529,0.46399999999999997,0.45899999999999996,0.03549620965680702,0.03554472675376757,0.02993435484522758,0.029299344702569716,THD|MHD,RPB,SMO,CGO,Medusa|Medusa,Medusa,Medusa,Medusa
2008-08-01,0.552,0.534,0.473,0.466,0.03722813989444007,0.03776985041008238,0.031215771654726075,0.028822935312004572,THD|MHD,RPB,SMO,CGO,Medusa|Medusa,Medusa,Medusa,Medusa
